title,price,rating
"Tecno Spark 8C 6.6"" 64GB ROM + 2GB RAM, Dual Sim, Purple","KSh 12,699",5 out of 5
Oppo A83 4GB RAM+64GB - 4G LTE Dual SIM - 5.7-inch Display - Face Unlock Blue,"KSh 9,390",0 out of 5
Oppo A83 4GB RAM+64GB - 4G LTE Dual SIM - 5.7-inch Display - Face Unlock Blue,"KSh 9,390",0 out of 5
Oppo A83 4GB RAM+64GB - 4G LTE Dual SIM - 5.7-inch Display - Face Unlock Black,"KSh 9,390",0 out of 5
"Infinix Smart 6, 6.6"", 2GB RAM, 32GB, Android 10, XOS 7.6, 5000mAh, 3G - Ocean Wave","KSh 9,995",4.6 out of 5
"Nokia 106 Dual Sim, [4MB RAM + 4MB ROM], 1.8'', 21 Days Standby-800mAh","KSh 1,790",4.2 out of 5
Oppo R9M/R9KM/R9TM （4GB RAM + 64GB ROM )  Renewed 4G Smartphone,"KSh 5,999",0 out of 5
"Bontel 5310mini1.44""Big Screen//Loud Speaker//FM,Spotlight Torch 1000mAh – Black/C.E""","KSh 1,080",3.7 out of 5
"XIAOMI Redmi A1+, 6.52"", 32GB + 2GB,  5000mAh, 4G LTE, Dual SIM -  Light Blue","KSh 10,345",0 out of 5
Not found,error,error
"Tecno Spark 9, 6.6"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Infinity Black","KSh 14,997",0 out of 5
"Itel It 2160, 1.77'' Blue, Fm Radio,1000 MAh,Dual Sim.","KSh 1,299",4.3 out of 5
"Samsung Galaxy A33 5G, 6.4"", 128GB + 6GB RAM (Dual SIM), 5000mAh, Black","KSh 35,519",4.4 out of 5
"Samsung DUOS - - (SM-B310E) - Dual Sim, White","KSh 1,848",0 out of 5
"Tecno Spark 7, 6.5"", 64GB + 3GB RAM (Single SIM), 5000mAh, Black","KSh 12,939",5 out of 5
"Vivo Y15s, 6.51'', 32 GB + 3 GB RAM (Dual SIM) - Wave Green","KSh 12,432",4.4 out of 5
Samsung Galaxy A03s – 6.5″ – 32GB + 3GB – Dual SIM - Blue,"KSh 13,679",4.3 out of 5
"Tecno Spark 9T , 6.6"", 128GB ROM + 4GB RAM,Dual SIM, 5000mAh - Black","KSh 18,449",0 out of 5
CALUS Smart Live Mobile Feature Phone,"KSh 1,330",5 out of 5
"XIAOMI Redmi Note 10s, 6.43'', 6GB + 128GB, 64MP Quad-cam, Dual SIM, 5000mAh, Grey","KSh 25,699",4.3 out of 5
"XIAOMI Redmi 10C, 6.53'', [4GB RAM + 64GB], 4G, DUAL SIM + 8 FREE GIFTS","KSh 17,499",3.9 out of 5
"Nokia 106 Dual Sim, [4MB RAM + 4MB ROM], 1.8'', - PHONE","KSh 1,790",4.1 out of 5
"Bontel 2720 1.77"" DISP// Flip Phone. MP3,MP4,FM , Flash Torch 1000mAh,SUPERFLY","KSh 1,780",4.3 out of 5
"XIAOMI Redmi 10C 6.71'', (4GB RAM + 64GB)4G, 50MP ,5000mAh Battery, Dual SIM - Gray","KSh 16,624",4.3 out of 5
Not found,error,error
"XIAOMI Redmi Note 11, 6.43"", 6GB RAM + 128GB (Dual SIM), 5000mAh, Gray","KSh 25,499",4.7 out of 5
Nokia X20 - 6.67''  5G  128GBROM 8GM RAM-DUAL SIM-Nordic Blue,"KSh 26,880",4 out of 5
